grupo,pais,pj,w,d,l,GF,GC,DG,pts,odds_us
A,México,0,0,0,0,0,0,0,0,7000
A,Sudáfrica,0,0,0,0,0,0,0,0,80000
A,Chequia,0,0,0,0,0,0,0,0,15000
A,República de Corea,0,0,0,0,0,0,0,0,35000
B,Canadá,0,0,0,0,0,0,0,0,20000
B,Bosnia y Herzegovina,0,0,0,0,0,0,0,0,25000
B,Qatar,0,0,0,0,0,0,0,0,100000
B,Suiza,0,0,0,0,0,0,0,0,10000
C,Brasil,0,0,0,0,0,0,0,0,850
C,Marruecos,0,0,0,0,0,0,0,0,6000
C,Haití,0,0,0,0,0,0,0,0,150000
C,Escocia,0,0,0,0,0,0,0,0,20000
D,Estados Unidos,0,0,0,0,0,0,0,0,6500
D,Paraguay,0,0,0,0,0,0,0,0,20000
D,Australia,0,0,0,0,0,0,0,0,45000
D,Turquía,0,0,0,0,0,0,0,0,6500
E,Alemania,0,0,0,0,0,0,0,0,1400
E,Curazao,0,0,0,0,0,0,0,0,150000
E,Costa de Marfil,0,0,0,0,0,0,0,0,25000
E,Ecuador,0,0,0,0,0,0,0,0,8000
F,Países Bajos,0,0,0,0,0,0,0,0,2000
F,Japón,0,0,0,0,0,0,0,0,5000
F,Suecia,0,0,0,0,0,0,0,0,8000
F,Túnez,0,0,0,0,0,0,0,0,50000
G,Bélgica,0,0,0,0,0,0,0,0,3500
G,Egipto,0,0,0,0,0,0,0,0,30000
G,Irán,0,0,0,0,0,0,0,0,30000
G,Nueva Zelanda,0,0,0,0,0,0,0,0,100000
H,España,0,0,0,0,0,0,0,0,450
H,Cabo Verde,0,0,0,0,0,0,0,0,100000
H,Arabia Saudita,0,0,0,0,0,0,0,0,100000
H,Uruguay,0,0,0,0,0,0,0,0,6500
I,Francia,0,0,0,0,0,0,0,0,550
I,Senegal,0,0,0,0,0,0,0,0,10000
I,Irak,0,0,0,0,0,0,0,0,100000
I,Noruega,0,0,0,0,0,0,0,0,2800
J,Argentina,0,0,0,0,0,0,0,0,850
J,Argelia,0,0,0,0,0,0,0,0,35000
J,Austria,0,0,0,0,0,0,0,0,10000
J,Jordania,0,0,0,0,0,0,0,0,150000
K,Portugal,0,0,0,0,0,0,0,0,1100
K,RD Congo,0,0,0,0,0,0,0,0,70000
K,Uzbekistán,0,0,0,0,0,0,0,0,150000
K,Colombia,0,0,0,0,0,0,0,0,4000
L,Inglaterra,0,0,0,0,0,0,0,0,650
L,Croacia,0,0,0,0,0,0,0,0,9000
L,Ghana,0,0,0,0,0,0,0,0,35000
L,Panamá,0,0,0,0,0,0,0,0,100000